2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:39:34 [error] 15092#13248: *47 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:40 [error] 15092#13248: *48 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:40 [error] 15092#13248: *48 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:40 [error] 15092#13248: *50 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:40 [error] 15092#13248: *50 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:40 [error] 15092#13248: *52 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:41 [error] 15092#13248: *53 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:41 [error] 15092#13248: *54 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:41 [error] 15092#13248: *55 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:46 [error] 15092#13248: *56 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:46 [error] 15092#13248: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:46 [error] 15092#13248: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:57 [notice] 5260#476: signal process started
2021/01/17 12:40:02 [error] 15076#11020: *59 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:02 [error] 15076#11020: *61 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:02 [error] 15076#11020: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:04 [error] 15076#11020: *59 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:04 [error] 15076#11020: *64 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:05 [error] 15076#11020: *65 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:05 [error] 15076#11020: *66 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:05 [error] 15076#11020: *67 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:10 [error] 15076#11020: *68 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:10 [error] 15076#11020: *69 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:40:10 [error] 15076#11020: *70 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:42:39 [notice] 2800#3740: signal process started
2021/01/17 12:43:10 [notice] 192#4228: signal process started
2021/01/17 12:43:10 [error] 192#4228: CreateFile() "D:\Projects\BE Project\main-backend\nginx-1.18.0/logs/nginx.pid" failed (2: The system cannot find the file specified)
2021/01/17 12:44:18 [error] 13100#8352: *1 CreateFile() "D:\Projects\BE Project\main-backend\nginx-1.18.0/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/01/17 12:51:11 [error] 15076#11020: *73 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:11 [error] 15076#11020: *73 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:11 [error] 15076#11020: *71 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:11 [error] 15076#11020: *71 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:11 [error] 15076#11020: *75 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:51:16 [error] 15076#11020: *76 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8888, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
